id,observed_on_string,observed_on,time_observed_at,time_zone,out_of_range,user_id,user_login,updated_at,quality_grade,license,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
5932,2010-02-14,2010-02-14,,Pacific Time (US & Canada),,337,brighto,2019-09-02 11:23:11 +0800,research,,,"","",3,1,false,,"J. D. Grant Park, Santa Clara County, CA.",37.3379554749,-121.7182159424,,,open,false,,,Pyrobombus,Pyrobombus,,Insecta,538900
7446,2010-06-05,2010-06-05,,Pacific Time (US & Canada),,354,folini,2018-10-21 20:06:37 +0800,research,CC-BY-NC-SA,,"","",1,0,false,,"Tilden Regional Park, California, USA ",37.8821029663,-122.2221679688,,,,false,,,Yellow-faced Bumble Bee,Bombus vosnesenskii,Yellow-faced Bumble Bee,Insecta,57689
12594,2011-03-09,2011-03-09,,Pacific Time (US & Canada),,505,dloarie,2016-07-29 07:16:46 +0800,research,CC-BY,,"","",2,0,false,,healdsburg,38.6118808276,-122.7835679054,,,,false,,,Yellow-faced Bumblebee,Bombus vosnesenskii,Yellow-faced Bumble Bee,Insecta,57689
13268,"March 25, 2011 9:10:36 AM PDT",2011-03-25,2011-03-26 00:10:36 +0800,Pacific Time (US & Canada),,477,loarie,2016-07-29 07:16:48 +0800,research,CC0,,"","Not sure which kind, gathering nectar on Echium",1,0,false,,"37.75640106201172, -122.42688751220703",37.756401062,-122.4268875122,,,,false,,,Yellow-faced Bumblebee,Bombus vosnesenskii,Yellow-faced Bumble Bee,Insecta,57689
15274,2011-04-23,2011-04-23,,Pacific Time (US & Canada),,851,mcclellanranch,2018-05-31 12:10:22 +0800,needs_id,,,"Bombus, Bumble bee, Apidae","I will be checking to see if this is B. vosnesenskii, the Yellow-faced Bumble Bee.",2,0,false,," McClellan Ranch Park, Cupertino, CA",37.3130460362,-122.0635181665,,,,false,,,Pyrobombus,Pyrobombus,,Insecta,538900
16777,2011-04-16,2011-04-16,,Pacific Time (US & Canada),,1182,aluisi,2016-09-23 08:56:39 +0800,casual,,,"",Flowers and grass in partial shade,0,0,false,,"stanford, ca",37.4221851105,-122.1783542633,,,,false,,,Bombus,Bombus,Bumble Bees,Insecta,52775
17891,2011-05-22,2011-05-22,,Pacific Time (US & Canada),,710,johngcramer,2016-09-23 08:57:26 +0800,research,,,"","",1,0,false,,95008,37.2770029,-121.9529992,,,,false,,,Yellow-faced Bumblebee,Bombus vosnesenskii,Yellow-faced Bumble Bee,Insecta,57689
20421,2011-06-05,2011-06-05,,Hawaii,,1735,worasom,2018-01-06 10:09:37 +0800,needs_id,,,"",I found lots of this near the California poppy flowers. ,5,0,false,,"Stanford, CA",37.424106,-122.1660756,,,,false,,,Bumble Bees,Bombus,Bumble Bees,Insecta,52775
20836,2011-06-09,2011-06-09,,Pacific Time (US & Canada),,505,dloarie,2019-07-22 00:52:51 +0800,needs_id,CC-BY,,"","",3,1,false,,"Alexander Valley, CA",38.6120082556,-122.7826881409,,,open,false,,,Thoracobombus,Thoracobombus,,Insecta,538902
21526,2011-06-14,2011-06-14,,Pacific Time (US & Canada),,642,biosam,2019-05-20 03:52:28 +0800,needs_id,CC-BY-NC,,"",Dead near greenhouse. Will post photographs later for possible I.D.,2,0,false,,San Francisco State University,37.7238942,-122.4792744,,,,false,,,Bumble Bees,Pyrobombus,,Insecta,538900
